,Unnamed: 0,distance,following_x,front_x,frame,front_speed,front_a,following_speed,following_a,front_id,following_id,front_width,following_width,front_class,following_class,front_feature,following_feature
0,1,24.409999999999968,0.0,24.409999999999968,5738,23.99999999999949,0.0,21.750000000000117,12.499999999988631,694,697,3.74,4.04,Car,Car,,
1,2,24.47999999999996,0.8899999999999864,25.369999999999948,5739,23.99999999999949,0.0,22.24999999999966,12.499999999988631,694,697,3.74,4.04,Car,Car,,
2,3,24.54000000000002,1.7899999999999636,26.329999999999984,5740,24.00000000000091,3.552713678800501e-11,22.49999999999943,6.249999999994316,694,697,3.74,4.04,Car,Car,,
3,4,24.579999999999984,2.7099999999999795,27.289999999999964,5741,23.99999999999949,3.552713678800501e-11,23.0000000000004,12.500000000024158,694,697,3.74,4.04,Car,Car,,
4,5,24.620000000000005,3.6399999999999855,28.25999999999999,5742,24.25000000000068,6.250000000029843,23.25000000000017,6.249999999994316,694,697,3.74,4.04,Car,Car,,
5,6,24.649999999999977,4.579999999999984,29.22999999999996,5743,24.24999999999926,3.552713678800501e-11,23.499999999999943,6.249999999994316,694,697,3.74,4.04,Car,Car,,
6,7,24.680000000000007,5.519999999999982,30.19999999999999,5744,24.25000000000068,3.552713678800501e-11,23.499999999999943,0.0,694,697,3.74,4.04,Car,Car,,
7,8,24.70999999999998,6.45999999999998,31.16999999999996,5745,24.24999999999926,3.552713678800501e-11,23.499999999999943,0.0,694,697,3.74,4.04,Car,Car,,
8,9,24.74000000000001,7.399999999999977,32.139999999999986,5746,24.25000000000068,3.552713678800501e-11,23.499999999999943,0.0,694,697,3.74,4.04,Car,Car,,
9,10,24.75,8.349999999999966,33.099999999999966,5747,23.99999999999949,6.250000000029843,23.74999999999972,6.249999999994316,694,697,3.74,4.04,Car,Car,,
10,11,24.760000000000048,9.299999999999956,34.06,5748,24.00000000000091,3.552713678800501e-11,23.74999999999972,0.0,694,697,3.74,4.04,Car,Car,,
11,12,24.78000000000003,10.239999999999952,35.01999999999998,5749,23.99999999999949,3.552713678800501e-11,23.499999999999943,6.249999999994316,694,697,3.74,4.04,Car,Car,,
12,13,24.80000000000001,11.17999999999995,35.97999999999996,5750,23.99999999999949,0.0,23.499999999999943,0.0,694,697,3.74,4.04,Car,Car,,
13,14,24.81,12.139999999999986,36.94999999999999,5751,24.25000000000068,6.250000000029843,24.00000000000091,12.500000000024158,694,697,3.74,4.04,Car,Car,,
